"batch_file","row_in_batch","key","pubmed_id","doi","title","year","journal","A_decision","A_confidence","A_labels","B_decision","B_confidence","B_labels","comparison_status","conflict_priority","provisional_decision","human_review_needed","automated_final_queue"
"reviewer_A_batch_07rows1501-1750.csv","24","rayyan-550687647","38494197","10.1080/0886022X.2024.2324071","Machine learning model and nomogram to predict the risk of heart failure hospitalization in peritoneal dialysis patients.","2024","Renal failure","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_07rows1501-1750.csv","25","rayyan-550687648","32171469","10.1016/j.repc.2019.05.012","The SHIFT model combines clinical, electrocardiographic and echocardiographic parameters to predict sudden cardiac death in hypertrophic cardiomyopathy.","2019","Revista portuguesa de cardiologia","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_07rows1501-1750.csv","53","rayyan-550687676","33422667","10.1016/j.echo.2020.12.025","Importance of Systematic Right Ventricular Assessment in Cardiac Resynchronization Therapy Candidates: A Machine Learning Approach.","2021","Journal of the American Society of Echocardiography : official publication of the           American Society of Echocardiography","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_07rows1501-1750.csv","85","rayyan-550687708","21457384","10.1111/j.1540-8167.2011.02052.x","Positioning of left ventricular pacing lead guided by intracardiac echocardiography with vector velocity imaging during cardiac resynchronization therapy procedure.","2011","Journal of cardiovascular electrophysiology","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_07rows1501-1750.csv","92","rayyan-550687715","18982477","10.1007/s12149-008-0165-9","Gated 99mTc-MIBI single-photon emission computed tomography for the evaluation of left ventricular ejection fraction: comparison with three-dimensional echocardiography.","2008","Annals of nuclear medicine","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_07rows1501-1750.csv","138","rayyan-550687761","41485778","10.1136/bmjopen-2025-099658","Intelligent monitoring to predict atrial fibrillation (NOTE-AF): clinical study 1 for the 'Health virtual twins for the personalised management of stroke related to atrial fibrillation (TARGET)' project - a protocol for a prospective cohort analysis.","2026","BMJ open","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_09rows2001-2250.csv","64","rayyan-550688188","17502570","10.1161/CIRCULATIONAHA.106.677369","View-synchronized robotic image-guided therapy for atrial fibrillation ablation: experimental validation and clinical feasibility.","2007","Circulation","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_09rows2001-2250.csv","97","rayyan-550688221","16648054","10.1016/j.hrthm.2006.01.014","Entrainment mapping for rapid distinction of left and right atrial tachycardias.","2006","Heart rhythm","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_11rows2501-2750.csv","40","rayyan-550688666","20683365","10.1097/MNM.0b013e32833d82ff","Automated detection of left ventricular dyskinesis by gated blood pool SPECT.","2010","Nuclear medicine communications","include","0,85","AI-ECG;Structural-heart-disease","maybe","0,9","AI-ECG;Structural-heart-disease","conflict","medium","human_review_required","yes","conflict_queue"
"reviewer_A_batch_11rows2501-2750.csv","169","rayyan-550688796","37117004","10.1136/heartjnl-2022-322192","Morpho-mechanistic screening criteria for the echocardiographic detection of rheumatic heart disease.","2023","Heart (British Cardiac Society)","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_12rows2751-3000.csv","88","rayyan-550688966","38922159","10.3390/toxins16060265","Mushroom Poisoning-Related Cardiac Toxicity: A Case Report and Systematic Review.","2024","Toxins","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_12rows2751-3000.csv","143","rayyan-550689021","25542998","10.1016/j.hrthm.2014.12.029","Impact of earliest activation site location in the septal right ventricular outflow tract for identification of left vs right outflow tract origin of idiopathic ventricular arrhythmias.","2015","Heart rhythm","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_12rows2751-3000.csv","186","rayyan-550689064","37414109","10.1016/j.hrthm.2023.06.022","Omnipolar versus bipolar mapping to guide ventricular tachycardia ablation.","2023","Heart rhythm","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_13rows3001-3250.csv","180","rayyan-550689309","28416121","10.1016/j.jdiacomp.2017.03.014","Silent coronary heart disease in patients with type 2 diabetes: application of a screening approach in a follow-up study.","2017","Journal of diabetes and its complications","maybe","0,55","AI-ECG","exclude","0,55","AI-ECG","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_13rows3001-3250.csv","196","rayyan-550689325","21343901","10.1038/nrcardio.2011.15","The diagnosis and management of ventricular arrhythmias.","2011","Nature reviews. Cardiology","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_13rows3001-3250.csv","229","rayyan-550689359","39363418","10.1111/jce.16433","Cardiac resynchronization therapy guided by interventricular conduction delay: How to choose between biventricular pacing or conduction system pacing.","2024","Journal of cardiovascular electrophysiology","include","0,85","AI-ECG;Structural-heart-disease","maybe","0,9","AI-ECG;Structural-heart-disease","conflict","medium","human_review_required","yes","conflict_queue"
"reviewer_A_batch_13rows3001-3250.csv","234","rayyan-550689364","31510774","10.1161/CIRCINTERVENTIONS.118.006071","Invasive Management of Out of Hospital Cardiac Arrest.","2019","Circulation. Cardiovascular interventions","maybe","0,55","AI-ECG","exclude","0,55","AI-ECG","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_13rows3001-3250.csv","235","rayyan-550689365","39920805","10.1186/s12933-025-02612-z","Challenges in the diagnosis of heart failure with preserved ejection fraction in individuals with obesity.","2025","Cardiovascular diabetology","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_13rows3001-3250.csv","240","rayyan-550689371","21382680","10.1016/j.ejrad.2011.02.040","Radiation dose of CT coronary angiography in clinical practice: objective evaluation of strategies for dose optimization.","2012","European journal of radiology","maybe","0,55","AI-ECG","exclude","0,55","AI-ECG","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_13rows3001-3250.csv","241","rayyan-550689372","25302657","10.1002/ejhf.172","A prediction model for sudden cardiac death in patients with heart failure and preserved ejection fraction.","2014","European journal of heart failure","include","0,85","AI-ECG;Structural-heart-disease","maybe","0,9","AI-ECG;Structural-heart-disease","conflict","medium","human_review_required","yes","conflict_queue"
"reviewer_A_batch_13rows3001-3250.csv","243","rayyan-550689374","39920923","10.1016/j.jocmr.2025.101854","Exploring the limits of scan time reduction for ferumoxytol-enhanced whole-heart angiography in congenital heart disease patients.","2025","Journal of cardiovascular magnetic resonance : official journal of the Society           for Cardiovascular Magnetic Resonance","maybe","0,55","AI-ECG","exclude","0,55","AI-ECG","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_14rows3251-3500.csv","15","rayyan-550689396","10399800","10.1080/14017439950141759","Clinical assessment of indication for ACE-inhibitor treatment early after acute myocardial infarction.","1999","Scandinavian cardiovascular journal : SCJ","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_14rows3251-3500.csv","18","rayyan-550689399","22246951","10.1002/clc.20963","Can we predict the occurrence of atrial fibrillation?","2012","Clinical cardiology","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_14rows3251-3500.csv","23","rayyan-550689404","22421029","10.1016/j.echo.2012.02.008","Serial assessment of right ventricular volume and function in surgically palliated hypoplastic left heart syndrome using real-time transthoracic three-dimensional echocardiography.","2012","Journal of the American Society of Echocardiography : official publication of the           American Society of Echocardiography","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_14rows3251-3500.csv","141","rayyan-550689523","26931590","10.1063/1.4941673","Novel application of multi dynamic trend analysis as a sensitive tool for detecting the effects of aging and congestive heart failure on heart rate variability.","2016","Chaos (Woodbury, N.Y.)","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_14rows3251-3500.csv","154","rayyan-550689536","40780565","10.1016/j.tcm.2025.08.002","Artificial intelligence and extended reality in TAVR: current applications and challenges.","2025","Trends in cardiovascular medicine","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_14rows3251-3500.csv","156","rayyan-550689538","39768057","10.3390/bioengineering11121239","Comprehensive Analysis of Cardiovascular Diseases: Symptoms, Diagnosis, and AI Innovations.","2024","Bioengineering (Basel, Switzerland)","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_14rows3251-3500.csv","182","rayyan-550689564","23143166","10.1007/s00125-012-2772-1","Prediction and classification of cardiovascular disease risk in older adults with diabetes.","2013","Diabetologia","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_14rows3251-3500.csv","199","rayyan-550689581","41318013","10.1016/j.cpcardiol.2025.103231","Emerging risk factors for stroke and bleeding in patients with atrial fibrillation and heart failure-a narrative review.","2026","Current problems in cardiology","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_14rows3251-3500.csv","229","rayyan-550689611","37186969","10.1016/j.jstrokecerebrovasdis.2023.107173","Factors affecting reasonable duration of continuous electrocardiographic monitoring to detect atrial fibrillation in acute ischemic stroke.","2023","Journal of stroke and cerebrovascular diseases : the official journal of National           Stroke Association","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_15rows3501-3539.csv","7","rayyan-550689640","36614887","10.3390/jcm12010089","Ultra Short Heart Rate Variability Predicts Clinical Outcomes in Patients with a Clinical Presentation Consistent with Myocarditis: A Derivation Cohort Analysis.","2022","Journal of clinical medicine","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_15rows3501-3539.csv","38","rayyan-550689671","40428200","10.3390/diagnostics15101207","Atrial Cardiomyopathy in Atrial Fibrillation: A Multimodal Diagnostic Framework.","2025","Diagnostics (Basel, Switzerland)","maybe","0,7","AI-ECG;Structural-heart-disease;DTA-data","exclude","0,75","AI-ECG;Structural-heart-disease;DTA-data","conflict","low","maybe","yes","conflict_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","2","rayyan-550686122","34743566","10.1161/CIRCULATIONAHA.121.057480","ECG-Based Deep Learning and Clinical Risk Factors to Predict Atrial Fibrillation.","2022","Circulation","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","3","rayyan-550686123","39217446","10.1093/eurheartj/ehae595","Prediction of incident atrial fibrillation using deep learning, clinical models, and polygenic scores.","2024","European heart journal","maybe","0.45","AI-ECG;DTA-data;External-validation","maybe","0.3","AI-ECG;DTA-data;External-validation","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","5","rayyan-550686125","30617320","10.1038/s41591-018-0268-3","Cardiologist-level arrhythmia detection and classification in ambulatory electrocardiograms using a deep neural network.","2019","Nature medicine","maybe","0.45","AI-ECG;DTA-data;External-validation","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","11","rayyan-550686131","39297841","10.1016/j.jacep.2024.07.015","Electrocardiogram-Based Deep Learning to Predict Mortality in Repaired Tetralogy of Fallot.","2024","JACC. Clinical electrophysiology","maybe","0.7","AI-ECG;DTA-data;External-validation","maybe","0.65","AI-ECG;DTA-data;External-validation","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","12","rayyan-550686132","32354454","10.1016/j.hrthm.2020.02.015","Deep learning for comprehensive ECG annotation.","2020","Heart rhythm","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","13","rayyan-550686133","38029363","10.1111/pace.14891","Deep learning-based regional ECG diagnosis platform.","2024","Pacing and clinical electrophysiology : PACE","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","24","rayyan-550686144","40864445","10.1142/S0129065725500534","Deep Unfolded Variable Projection Networks.","2025","International journal of neural systems","maybe","0.45","AI-ECG;DTA-data;External-validation","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","25","rayyan-550686145","32628863","10.1161/CIRCEP.119.007952","Artificial Intelligence and Machine Learning in Arrhythmias and Cardiac Electrophysiology.","2020","Circulation. Arrhythmia and electrophysiology","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","26","rayyan-550686146","38953953","10.1007/s00246-024-03540-7","Pediatric Electrocardiogram-Based Deep Learning to Predict Secundum Atrial Septal Defects.","2025","Pediatric cardiology","maybe","0.65","AI-ECG;DTA-data","maybe","0.65","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","31","rayyan-550686151","38700819","10.1007/s10554-024-03080-4","Artificial intelligence in coronary artery calcium score: rationale, different approaches, and outcomes.","2024","The international journal of cardiovascular imaging","maybe","0.65","AI-ECG;DTA-data","maybe","0.65","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","36","rayyan-550686156","34544652","10.1016/j.jjcc.2021.08.029","Deep learning model to detect significant aortic regurgitation using electrocardiography.","2022","Journal of cardiology","maybe","0.65","AI-ECG;DTA-data","maybe","0.65","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","41","rayyan-550686161","38833801","10.1016/j.compbiomed.2024.108658","Machine learning model with output correction: Towards reliable bradycardia detection in neonates.","2024","Computers in biology and medicine","maybe","0.65","AI-ECG;DTA-data","maybe","0.65","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","42","rayyan-550686162","39255656","10.1016/j.compbiomed.2024.109126","3DECG-Net: ECG fusion network for multi-label cardiac arrhythmia detection.","2024","Computers in biology and medicine","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","43","rayyan-550686163","38269618","10.1093/jamia/ocae002","Biometric contrastive learning for data-efficient deep learning from electrocardiographic images.","2024","Journal of the American Medical Informatics Association : JAMIA","maybe","0.45","AI-ECG;DTA-data;External-validation","maybe","0.3","AI-ECG;DTA-data;External-validation","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","44","rayyan-550686164","39028354","10.1007/s10916-024-02088-6","Artificial Intelligence-Enabled Electrocardiography Predicts Future Pacemaker Implantation and Adverse Cardiovascular Events.","2024","Journal of medical systems","maybe","0.7","AI-ECG;DTA-data;External-validation","maybe","0.65","AI-ECG;DTA-data;External-validation","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","46","rayyan-550686166","40331418","10.2459/JCM.0000000000001716","Expert consensus document on artificial intelligence of the Italian Society of Cardiology.","2025","Journal of cardiovascular medicine (Hagerstown, Md.)","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","50","rayyan-550686170","37286945","10.1186/s12872-023-03326-4","Electrocardiogram-based deep learning algorithm for the screening of obstructive coronary artery disease.","2023","BMC cardiovascular disorders","maybe","0.65","AI-ECG;DTA-data","maybe","0.65","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","51","rayyan-550686171","40523997","10.1007/s00246-025-03916-3","Artificial Intelligence-Enabled ECG to Detect Congenitally Corrected Transposition of the Great Arteries.","2026","Pediatric cardiology","maybe","0.7","AI-ECG;DTA-data;External-validation","maybe","0.65","AI-ECG;DTA-data;External-validation","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","52","rayyan-550686172","40406972","10.1111/jce.16733","A Deep Learning-Based Multimodal Fusion Model for Recurrence Prediction in Persistent Atrial Fibrillation Patients.","2025","Journal of cardiovascular electrophysiology","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","54","rayyan-550686174","38676273","10.3390/s24082655","Prototype Learning for Medical Time Series Classification via Human-Machine Collaboration.","2024","Sensors (Basel, Switzerland)","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","56","rayyan-550686176","35978890","10.1155/2022/8413294","Lightweight Multireceptive Field CNN for 12-Lead ECG Signal Classification.","2022","Computational intelligence and neuroscience","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","57","rayyan-550686177","37530078","10.1111/anec.13072","Deep learning-mediated prediction of concealed accessory pathway based on sinus rhythmic electrocardiograms.","2023","Annals of noninvasive electrocardiology : the official journal of the           International Society for Holter and Noninvasive Electrocardiology, Inc","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","58","rayyan-550686178","35891094","10.3390/s22145414","Deep-Learning-Based Estimation of the Spatial QRS-T Angle from Reduced-Lead ECGs.","2022","Sensors (Basel, Switzerland)","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","60","rayyan-550686180","39066765","10.1016/j.annemergmed.2024.06.004","Development of Clinically Validated Artificial Intelligence Model for Detecting ST-segment Elevation Myocardial Infarction.","2024","Annals of emergency medicine","maybe","0.7","AI-ECG;DTA-data;External-validation","maybe","0.65","AI-ECG;DTA-data;External-validation","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","62","rayyan-550686182","40157386","10.1093/eurheartj/ehaf073","Near-term prediction of sustained ventricular arrhythmias applying artificial intelligence to single-lead ambulatory electrocardiogram.","2025","European heart journal","maybe","0.45","AI-ECG;DTA-data;External-validation","maybe","0.3","AI-ECG;DTA-data;External-validation","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","64","rayyan-550686184","36035826","10.1155/2022/1094830","Detection of Heart Arrhythmia on Electrocardiogram using Artificial Neural Networks.","2022","Computational intelligence and neuroscience","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","65","rayyan-550686185","35957162","10.3390/s22155606","Heartbeat Classification and Arrhythmia Detection Using a Multi-Model Deep-Learning Technique.","2022","Sensors (Basel, Switzerland)","maybe","0.4","AI-ECG;DTA-data","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","66","rayyan-550686186","33840640","10.4244/EIJ-D-20-01155","A deep learning algorithm for detecting acute myocardial infarction.","2021","EuroIntervention : journal of EuroPCR in collaboration with the Working Group on           Interventional Cardiology of the European Society of Cardiology","maybe","0.7","AI-ECG;DTA-data;External-validation","maybe","0.65","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","71","rayyan-550686191","38603589","10.1111/dom.15578","Artificial intelligence-enhanced electrocardiogram analysis for identifying cardiac autonomic neuropathy in patients with diabetes.","2024","Diabetes, obesity & metabolism","maybe","0.65","AI-ECG;DTA-data","maybe","0.65","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","74","rayyan-550686194","33271204","10.1016/j.ijcard.2020.11.053","Explainable artificial intelligence to detect atrial fibrillation using electrocardiogram.","2021","International journal of cardiology","maybe","0.45","AI-ECG;DTA-data;External-validation","maybe","0.3","AI-ECG;DTA-data;External-validation","agreement","none","maybe","no","maybe_queue"
"reviewer_A_batch_01_rows_0001-0250.csv","75","rayyan-550686195","31113234","10.1161/CIRCEP.118.006834","Smartwatch Performance for the Detection and Quantification of Atrial Fibrillation.","2019","Circulation. Arrhythmia and electrophysiology","maybe","0.45","AI-ECG;DTA-data;External-validation","maybe","0.3","AI-ECG;DTA-data","agreement","none","maybe","no","maybe_queue"
