"batch_file","row_in_batch","key","pubmed_id","doi","title","year","journal","A_decision","A_confidence","A_labels","B_decision","B_confidence","B_labels","comparison_status","conflict_priority","provisional_decision","human_review_needed"
"reviewer_A_batch_06rows1251-1500.csv","223","rayyan-550687596","25485420","10.1007/978-3-319-10470-6_66","Variational Bayesian electrophysiological imaging of myocardial infarction.","2014","Medical image computing and computer-assisted intervention : MICCAI ...           International Conference on Medical Image Computing and Computer-Assisted            Intervention","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","225","rayyan-550687598","16138921","10.1186/1475-925X-4-51","Mining for diagnostic information in body surface potential maps: a comparison of feature selection techniques.","2005","Biomedical engineering online","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","230","rayyan-550687603","18393956","10.1111/j.1540-8167.2008.01153.x","Consistency of the CFAE phenomena using custom software for automated detection of complex fractionated atrial electrograms (CFAEs) in the left atrium during atrial fibrillation.","2008","Journal of cardiovascular electrophysiology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","242","rayyan-550687615","38350188","10.1016/j.cmpb.2024.108052","Non-invasive estimation of atrial fibrillation driver position using long-short term memory neural networks and body surface potentials.","2024","Computer methods and programs in biomedicine","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_06rows1251-1500.csv","250","rayyan-550687623","23636870","10.1007/s10840-013-9791-9","First experience with a novel robotic remote catheter system: Amigo mapping trial.","2013","Journal of interventional cardiac electrophysiology : an international journal of           arrhythmias and pacing","exclude","0","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","3","rayyan-550687626","11178295","","Robotically enhanced totally endoscopic right internal thoracic coronary artery bypass to the right coronary artery.","2000","The heart surgery forum","exclude","0,35","DTA-data","exclude","0,35","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","4","rayyan-550687627","23728128","10.5830/CVJA-2013-008","Robotically assisted ventricular tachycardia substrate modification ablation with the novel Lynx(TM) integrated sheath and RF ablation catheter.","2013","Cardiovascular journal of Africa","exclude","0,1","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","8","rayyan-550687631","18979848","10.1007/978-3-540-85988-8_124","Noninvasive functional imaging of volumetric cardiac electrical activity: a human study on myocardial infarction.","2008","Medical image computing and computer-assisted intervention : MICCAI ...           International Conference on Medical Image Computing and Computer-Assisted            Intervention","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","16","rayyan-550687639","41663932","10.1186/s12874-026-02773-9","Dynamic prediction of paroxysmal atrial fibrillation onset using longitudinal sample entropy in joint models.","2026","BMC medical research methodology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","45","rayyan-550687668","41354230","10.1016/j.hrthm.2025.12.008","Development and validation of a novel machine learning-based algorithm to predict incident atrial fibrillation: A multicohort analysis.","2026","Heart rhythm","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","51","rayyan-550687674","39152263","10.1007/s00246-024-03614-6","Patient Driven EKG Device Performance in Adults with Fontan Palliation.","2025","Pediatric cardiology","exclude","0,1","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","67","rayyan-550687690","24269265","10.1016/j.jcmg.2013.08.008","Iterative reconstruction to preserve image quality and diagnostic accuracy at reduced radiation dose in coronary CT angiography: an intraindividual comparison.","2013","JACC. Cardiovascular imaging","exclude","0,2","AI-ECG;DTA-data","exclude","0,15","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","94","rayyan-550687717","39576988","10.2196/63795","Using Machine Learning to Predict the Duration of Atrial Fibrillation: Model Development and Validation.","2024","JMIR medical informatics","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","112","rayyan-550687735","40592173","10.1016/j.compbiomed.2025.110597","Empowering heart attack treatment for women through machine learning and optimization techniques.","2025","Computers in biology and medicine","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","142","rayyan-550687765","35357893","10.1259/bjr.20211274","Machine-learning-based radiomics identifies atrial fibrillation on the epicardial fat in contrast-enhanced and non-enhanced chest CT.","2022","The British journal of radiology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","149","rayyan-550687772","41581009","10.1097/MCC.0000000000001359","Diagnosis of occlusion myocardial infarction.","2026","Current opinion in critical care","exclude","0,35","DTA-data","exclude","0,35","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","163","rayyan-550687786","36329593","10.12122/j.issn.1673-4254.2022.10.18","[Application of wearable 12-lead electrocardiogram devices in pre-hospital diagnosis of acute ST segment elevation myocardial infarction].","2022","Nan fang yi ke da xue xue bao = Journal of Southern Medical University","exclude","0,1","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","184","rayyan-550687807","22404027","","[Application of fuzzy reasoning to myocardial ischemia judgment based on electrocardiogram ST-T complex].","2012","Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering =           Shengwu yixue gongchengxue zazhi","exclude","0,35","DTA-data","exclude","0,35","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_07rows1501-1750.csv","242","rayyan-550687865","38008732","10.1186/s12968-023-00978-1","The Nottingham Ischaemic Cardiovascular Magnetic Resonance resource (NotIs CMR): a prospective paired clinical and imaging scar database-protocol.","2023","Journal of cardiovascular magnetic resonance : official journal of the Society           for Cardiovascular Magnetic Resonance","exclude","0,2","AI-ECG;DTA-data","exclude","0,15","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_08rows1751-2000.csv","16","rayyan-550687889","39558448","10.1111/jce.16496","Five Criteria Predict Induction and Ablation of Supraventricular Tachycardia.","2025","Journal of cardiovascular electrophysiology","exclude","0,1","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_08rows1751-2000.csv","49","rayyan-550687922","27480743","10.1016/j.cmpb.2016.07.016","Paroxysmal atrial fibrillation prediction method with shorter HRV sequences.","2016","Computer methods and programs in biomedicine","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_08rows1751-2000.csv","82","rayyan-550687955","24473507","10.6061/clinics/2013(12)05","The involvement of multiple thrombogenic and atherogenic markers in premature coronary artery disease.","2013","Clinics (Sao Paulo, Brazil)","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_08rows1751-2000.csv","113","rayyan-550687986","37222916","10.1007/s11886-023-01898-3","Sensitivity and Specificity of Wearables for Atrial Fibrillation in Elderly Populations: A Systematic Review.","2023","Current cardiology reports","exclude","0","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_08rows1751-2000.csv","131","rayyan-550688005","20803061","10.1007/s10840-010-9508-2","Introduction of an expert system for the discrimination of local pulmonary vein and atrial far field signals.","2010","Journal of interventional cardiac electrophysiology : an international journal of           arrhythmias and pacing","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_08rows1751-2000.csv","181","rayyan-550688055","18675224","10.1016/j.hrthm.2008.04.021","Standardization and validation of an automated algorithm to identify fractionation as a guide for atrial fibrillation ablation.","2008","Heart rhythm","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_09rows2001-2250.csv","123","rayyan-550688248","31180747","10.1161/CIRCULATIONAHA.119.039598","The QT Interval.","2019","Circulation","exclude","0,35","DTA-data","exclude","0,35","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_09rows2001-2250.csv","137","rayyan-550688262","27247002","10.1093/europace/euw105","Ablation index, a novel marker of ablation lesion quality: prediction of pulmonary vein reconnection at repeat electrophysiology study and regional differences in target values.","2017","Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal           of the working groups on cardiac pacing, arrhythmias, and cardiac cellular            electrophysiology of the European Society of Cardiology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_09rows2001-2250.csv","156","rayyan-550688281","23439867","10.1093/europace/eut036","Tachycardia detection performance of implantable loop recorders: results from a large 'real-life' patient cohort and patients with induced ventricular arrhythmias.","2013","Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal           of the working groups on cardiac pacing, arrhythmias, and cardiac cellular            electrophysiology of the European Society of Cardiology","exclude","0,1","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_09rows2001-2250.csv","193","rayyan-550688318","41120030","10.1016/j.tcm.2025.10.006","Acute coronary-occlusion myocardial infarctions: performance of the STEMI criteria and evolving alternative approaches.","2026","Trends in cardiovascular medicine","exclude","0,35","DTA-data","exclude","0,35","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_09rows2001-2250.csv","196","rayyan-550688321","24277914","10.1177/0003319713511849","Apolipoprotein B/apolipoprotein A-I ratio and apolipoprotein B: long-term predictors of myocardial infarction in initially healthy middle-aged men--a 13-year follow-up.","2014","Angiology","exclude","0,35","DTA-data","exclude","0,35","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_09rows2001-2250.csv","211","rayyan-550688336","25678600","10.1093/europace/euu375","Potential eligibility of congenital heart disease patients for subcutaneous implantable cardioverter-defibrillator based on surface electrocardiogram mapping.","2015","Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal           of the working groups on cardiac pacing, arrhythmias, and cardiac cellular            electrophysiology of the European Society of Cardiology","exclude","0,1","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_09rows2001-2250.csv","236","rayyan-550688361","10691171","10.1016/s0022-0736(00)80097-7","Positional changes of spatial QRS- and ST-segment variables in normal subjects: implications for continuous vectorcardiography monitoring during myocardial ischemia.","2000","Journal of electrocardiology","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","34","rayyan-550688409","19162616","10.1109/IEMBS.2008.4649113","A sensitive algorithm for automatic detection of space-time alternating signals in cardiac tissue.","2008","Annual International Conference of the IEEE Engineering in Medicine and Biology           Society. IEEE Engineering in Medicine and Biology Society. Annual International            Conference","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","96","rayyan-550688471","12757200","10.1114/1.1567281","A single equivalent moving dipole model: an efficient approach for localizing sites of origin of ventricular electrical activation.","2003","Annals of biomedical engineering","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","124","rayyan-550688500","28364320","10.1007/s10840-017-0244-8","Repetitive atrial activation during ongoing atrial fibrillation-comparison using different mapping algorithms: preliminary findings.","2017","Journal of interventional cardiac electrophysiology : an international journal of           arrhythmias and pacing","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","128","rayyan-550688504","26814840","10.1007/s10840-016-0105-x","Respiratory gating algorithm helps to reconstruct more accurate electroanatomical maps during atrial fibrillation ablation performed under spontaneous respiration.","2016","Journal of interventional cardiac electrophysiology : an international journal of           arrhythmias and pacing","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","144","rayyan-550688520","26842123","10.1093/europace/euv244","Effect of the electrograms density in detecting and ablating the tip of the rotor during chronic atrial fibrillation: an in silico study.","2015","Europace : European pacing, arrhythmias, and cardiac electrophysiology : journal           of the working groups on cardiac pacing, arrhythmias, and cardiac cellular            electrophysiology of the European Society of Cardiology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","150","rayyan-550688526","19470038","10.1111/j.1540-8167.2009.01488.x","Dominant frequency mapping of atrial fibrillation: comparison of contact and noncontact approaches.","2009","Journal of cardiovascular electrophysiology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","156","rayyan-550688532","16895769","10.1016/j.jelectrocard.2005.12.006","A simple algorithm for defining the mechanism and the chamber of origin in atrial tachycardias.","2006","Journal of electrocardiology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","168","rayyan-550688544","40237974","10.1007/s10840-025-02045-4","Integration of automated peak frequency annotation with voltage mapping for identifying ventricular tachycardia ablation sites.","2025","Journal of interventional cardiac electrophysiology : an international journal of           arrhythmias and pacing","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","179","rayyan-550688555","23437794","10.1111/pace.12095","Comparison of electroanatomical mapping systems: accuracy in left atrial mapping.","2013","Pacing and clinical electrophysiology : PACE","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","213","rayyan-550688589","19162724","10.1109/IEMBS.2008.4649221","Usage of cardiac simulation results in source localization of focal epicardial arrhythmias using statistical estimation.","2008","Annual International Conference of the IEEE Engineering in Medicine and Biology           Society. IEEE Engineering in Medicine and Biology Society. Annual International            Conference","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_10rows2251-2500.csv","222","rayyan-550688598","12374332","10.1109/TBME.2002.803516","Use of topological charge to determine filament location and dynamics in a numerical model of scroll wave activity.","2002","IEEE transactions on bio-medical engineering","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_11rows2501-2750.csv","86","rayyan-550688713","40220757","10.1016/j.medj.2025.100668","Clinician-artificial intelligence collaboration: A win-win solution for efficiency and reliability in atrial fibrillation diagnosis.","2025","Med (New York, N.Y.)","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_11rows2501-2750.csv","103","rayyan-550688730","4067105","10.1016/s0735-1097(85)80213-8","Electrocardiographic findings in acute right ventricular infarction: sensitivity and specificity of electrocardiographic alterations in right precordial leads V4R, V3R, V1, V2, and V3.","1985","Journal of the American College of Cardiology","exclude","0,35","DTA-data","exclude","0,35","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_11rows2501-2750.csv","236","rayyan-550688863","39638855","10.1038/s41598-024-81983-x","Monitoring individualized glucose levels predicts risk for bradycardia in type 2 diabetes patients with chronic kidney disease: a pilot study.","2024","Scientific reports","exclude","0,1","DTA-data","exclude","0","DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_12rows2751-3000.csv","91","rayyan-550688969","28422337","10.1111/jce.13224","In vivo validation of a novel algorithm for automatic premature ventricular contractions recognition.","2017","Journal of cardiovascular electrophysiology","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_12rows2751-3000.csv","95","rayyan-550688973","33958172","10.1016/j.jcin.2021.03.010","Validation of the 2019 Expert Consensus Algorithm for the Management of Conduction Disturbances After TAVR.","2021","JACC. Cardiovascular interventions","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_12rows2751-3000.csv","166","rayyan-550689044","12930248","10.1046/j.1540-8167.2003.03074.x","Discrimination of left atrial and pulmonary vein potentials in patients with paroxysmal atrial fibrillation.","2003","Journal of cardiovascular electrophysiology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_12rows2751-3000.csv","173","rayyan-550689051","32540026","10.1053/j.semnuclmed.2020.03.005","Imaging and Quantification of Cardiac Sarcoidosis.","2020","Seminars in nuclear medicine","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_12rows2751-3000.csv","206","rayyan-550689084","11475829","10.1046/j.1460-9592.2001.01118.x","Comparison of two diagnostic algorithms for regular broad complex tachycardia by decision theory analysis.","2001","Pacing and clinical electrophysiology : PACE","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_12rows2751-3000.csv","209","rayyan-550689087","39826638","10.1016/j.hrthm.2025.01.009","Peak frequency analysis and functional substrate mapping to predict critical isthmus of atypical atrial tachycardia: Findings from a novel automated annotation algorithm to detect near-field signals.","2025","Heart rhythm","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_12rows2751-3000.csv","217","rayyan-550689095","37852563","10.1016/j.hrthm.2023.10.014","A novel automated peak frequency annotation algorithm for identifying deceleration zones and ventricular tachycardia ablation sites.","2024","Heart rhythm","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_12rows2751-3000.csv","230","rayyan-550689108","39396602","10.1016/j.hrthm.2024.10.015","Unipolar voltage electroanatomic mapping detects structural atrial remodeling identified by LGE-MRI.","2025","Heart rhythm","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_13rows3001-3250.csv","17","rayyan-550689145","30230079","10.1111/jce.13742","Characterization and significance of localized sources identified by a novel automated algorithm during mapping of human persistent atrial fibrillation.","2018","Journal of cardiovascular electrophysiology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_13rows3001-3250.csv","54","rayyan-550689182","24235119","10.1109/JBHI.2013.2243842","Multiscale adaptive basis function modeling of spatiotemporal vectorcardiogram signals.","2013","IEEE journal of biomedical and health informatics","exclude","0,4","AI-ECG;DTA-data","exclude","0,4","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_13rows3001-3250.csv","76","rayyan-550689204","30195579","10.1016/j.compbiomed.2018.08.025","Measuring defibrillator surface potentials: The validation of a predictive defibrillation computer model.","2018","Computers in biology and medicine","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_13rows3001-3250.csv","104","rayyan-550689233","36040933","10.1109/TBME.2022.3202962","Automated Localization of Myocardial Infarction From Vectorcardiographic via Tensor Decomposition.","2023","IEEE transactions on bio-medical engineering","exclude","0,3","AI-ECG","exclude","0,3","AI-ECG","agreement","none","exclude","no"
"reviewer_A_batch_13rows3001-3250.csv","110","rayyan-550689239","31366278","10.1161/CIRCRESAHA.119.314930","Instantaneous Amplitude and Frequency Modulations Detect the Footprint of Rotational Activity and Reveal Stable Driver Regions as Targets for Persistent Atrial Fibrillation Ablation.","2019","Circulation research","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_13rows3001-3250.csv","111","rayyan-550689240","23373588","10.1111/jce.12075","Noninvasive panoramic mapping of human atrial fibrillation mechanisms: a feasibility report.","2013","Journal of cardiovascular electrophysiology","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
"reviewer_A_batch_13rows3001-3250.csv","135","rayyan-550689264","41118045","10.1007/s10840-025-02150-4","Validation of an automated premature ventricular contraction mapping algorithm.","2026","Journal of interventional cardiac electrophysiology : an international journal of           arrhythmias and pacing","exclude","0,15","AI-ECG;DTA-data","exclude","0,05","AI-ECG;DTA-data","agreement","none","exclude","no"
